noticia,neutro_dia,dia,neutro_semana,semana,neutro_mes,mes
Café robusta sobe mais de 2% em Londres nesta 5ª com chuvas fortes no Vietnã,0,0,0,1,0,0
"Café: Futuros sobem forte nas bolsas de NY e Londres nesta 5ª, ainda apoiados nos fundamentos",0,0,0,1,0,0
Previsão de chuva no BR derruba preço do café arábica em mais de 3% no fechamento desta 4ª feira (19),0,0,0,1,0,0
"Enchentes atingem o Vietnã, causam mortes e afetam colheita de café",0,0,0,1,0,0
"Após dias de ganhos, preços do café recuam em realização de lucros na manhã desta 4ª feira (19)",0,0,1,1,0,0
Café/Cepea: Retirada parcial de tarifas pelos EUA mantém risco competitivo ao café do BR,0,0,0,0,0,0
Mercado cafeeiro se consolida novamente com ganhos de mais de 2% no fechamento da sessão desta 3ª feira (18),0,0,0,0,0,0
O gosto amargo da taxação: Ausência do café do Brasil nos blends americanos faz setor temer mudança de paladar e perda de mercado,0,0,1,1,0,0
Especialíssimo 2025 revela finalistas e premia cafés de excelência neste dia 21/11,0,0,0,0,0,0
Permanência da taxação mantém os ganhos nos preços do café na manhã desta 3ª feira (18),1,0,0,0,0,0
Tarifas substanciais dos EUA consolidam os fortes ganhos do café robusta nesta 2ª feira (17),0,1,0,0,0,0
Média de embarques e faturamento do café torrado recua significativamente até 2ª semana de novembro/25,0,1,0,0,0,0
"Mudança na tarifa de café de Trump ajuda torrefadores dos EUA, mas prejudica Brasil",0,1,0,0,0,0
"Mesmo com redução, taxa de 40% segue pesando na competitividade do café brasileiro nos EUA",0,1,0,0,0,0
Café: Permanência da taxação americana impulsiona ganhos de mais de 6% em Londres na tarde desta 2ª feira (17),0,1,0,0,0,0
"Tarifaço mantém pressão sobre o mercado cafeeiro, que busca novo rumo diante incertezas comerciais",0,1,0,0,0,0
EUA: Cecafé pede atenção às diferenças de tarifas dos EUA que incidem sobre o café do BR para isenção,0,1,0,0,0,0
"Pelo terceiro dia consecutivo, preços do café encerram sessão registrando fortes baixas nas bolsas internacionais",0,1,0,0,0,0
"Safras & Mercado projeta aumento de 10,5% na colheita de café do Brasil em 2026",0,1,0,0,0,0
Especulações otimistas no cenário cafeeiro mantém preços em baixa na manhã desta 6ª feira (14),0,1,0,0,0,0
Possível isenção ou redução das tarifas americanas sobre o café brasileiro consolida novas baixas nas bolsas internacionais,0,1,0,0,0,0
Agrobom e Cooxupé unem forças em parceria estratégica para fortalecer o agronegócio,0,0,0,0,0,0
Região do Cerrado Mineiro se prepara para celebrar a 13ª edição do prêmio que valoriza os melhores cafés de origem controlada do Brasil,0,0,0,0,0,0
StoneX vê possível recorde para safra de café do Brasil em 2026,0,0,0,0,0,0
“Vivenciando a Prática: Café” conecta estudantes à cadeia exportadora do produto,0,0,0,0,0,0
Preços do café seguem em queda diante perspectiva de redução da taxação americana,0,0,0,0,0,0
Café: Perspectiva de redução da taxação consolida baixas de mais de 5% nas bolsas no fechamento desta 4ª feira (12),0,0,0,0,0,0
"Exportação de café do Brasil cai 20% em outubro diante de tarifas dos EUA, aponta Cecafé",0,0,0,0,0,0
NOTA OFICIAL CNC: Secretário do Tesouro dos EUA diz que país deve reduzir taxação dos cafés do Brasil,0,0,0,0,0,0
"Brasil exporta 4,141 milhões de sacas de café em outubro",0,0,0,0,0,0
"O Vietnã vislumbra um acordo tarifário em breve, enquanto os EUA buscam reduzir seu enorme déficit comercial",0,0,0,0,0,0
"Safra de café 2026/27 no Brasil deve avançar 13,5% e chegar a 70,7 milhões de sacas",0,0,0,0,0,0
Preços do café despencam com EUA prontos a reduzir tarifas,0,0,0,0,0,0
Mercado do café trabalhava com recuo de mais de 2% na manhã desta 4ª feira (12),0,0,0,0,0,0
Café/Cepea: Clima tem favorecido lavouras de arábica,0,0,0,0,0,0
Trump diz que governo reduzirá algumas tarifas sobre o café,0,0,0,0,0,0
"Estoques baixos na ICE mantêm preços do arábica em alta, mas cenário pode mudar com novos embarques e clima favorável",0,0,0,0,0,0
Preços do café encerram mais uma sessão em lados opostos nas bolsas internacionais,0,0,0,0,0,0
Cooxupé inicia ranking de cafés especiais colhidos na safra 2025,0,0,0,0,0,0
Preços do café recuam nas bolsas internacionais na manhã desta 3ª feira (11),1,0,0,0,0,0
Preocupação com oferta consolida ganhos do café arábica no fechamento desta 2ª feira (10),1,0,0,0,0,0
Média de embarques do café não torrado e torrado na 1ª semana de novembro/25 é positiva,1,0,0,0,0,0
Safra 2025: cafés recebidos pela Coopercam surpreendem pela qualidade,1,1,0,0,0,0
Clima nos principais países produtores mantém preços do café pressionados e voláteis,0,0,0,0,0,0
Produção de café da Colômbia cai em outubro em relação ao ano anterior,0,1,0,0,0,0
Café: Mercado tem dia de retomada e tem altas fortes em NY e Londres nesta 6ª feira,0,1,0,0,0,0
Café impulsiona desenvolvimento econômico em Minas Gerais,0,1,0,0,0,0
Granizo causa estragos em lavouras de café do Sul de Minas e preocupa produtores,0,1,0,0,0,0
"Com consumo nacional tendo leve recuo, setor do café aposta em diversificação de produtos e penetração de mercado pelo país",0,1,0,0,0,0
"Café: Bolsas de NY e Londres fecham 5ª feira com mais de 3% de baixa, apesar de preocupações com o clima",0,1,0,0,0,0
Parceria tem o objetivo de desenvolver e fortalecer a cafeicultura regenerativa,0,1,0,0,0,0
Tufão Kalmaegi chega ao Vietnã e principais regiões produtoras de café devem ser afetadas,0,1,0,0,0,0
Microtorrefação em alta: Minas Gerais registra aumento de 48% em novos negócios nos primeiros oito meses de 2025,0,1,0,0,0,0
"Café: Preços caem nas bolsas de NY e Londres, apesar de fundamentos ainda positivos",1,1,0,0,0,0
Plataforma Global do Café e Emater firmam Acordo de Cooperação para  Avanço da Cafeicultura Regenerativa,0,0,0,0,0,0
"Para driblar o tarifaço, setor do café mira em abertura de novos mercados e compradores internacionais que visitam a SIC",0,0,0,0,0,0
Café: Mercado tem nova dispara em NY nesta 4ª feira (5) e sobe até 3%,0,0,0,0,0,0
Traders enviam café brasileiro para bolsa ICE em meio à queda dos estoques,0,0,0,0,0,0
"Com reposicionamento da marca “Cafés do Brasil”, Semana Internacional do Café 2025 é inaugurada",0,0,0,0,0,0
"Café: Futuros do arábica sobem mais de 1% em NY nesta 4ª feira, enquanto Londres cede",0,0,0,0,0,0
"Café/Cepea: Em meio a cenário indefinido, preços oscilam com força",0,1,0,1,0,0
Cafeicultores do Estado do Rio estão entre os 150 melhores do Brasil no Coffee of the Year 2025,0,1,0,1,0,0
Café: Bolsas operam ainda em alta nesta 3ª com clima adverso no Brasil e no Vietnã,0,1,0,1,0,0
ABIC adota código da GS1 Brasil para facilitar gestão do café no varejo,0,1,0,1,0,0
"Começa nesta 4ª feria (5) a 13ª edição da Semana Internacional do Café, com o tema Café em Transformação – Inovação, Sustentabilidade e Oferta do Mercado Global",0,0,0,1,0,0
Café: Futuros do arábica e do robusta fecham a 2ª feira (3) com altas de mais de 3% diante de preocupações com o clima,0,1,0,1,0,0
Nasce a primeira lenda mundial do café especial do Brasil,0,0,0,1,0,0
"Café inicia novembro em alta com arábica a 396,90 cents/lbp e robusta a US$ 4.550/t",0,1,0,1,0,1
Preços do café robusta encerram sessão desta 6ª feira (31) com baixas de mais de 2%,0,1,0,1,0,1
Região do Cerrado Mineiro celebra 20 anos de Indicação Geográfica com experiências sensoriais e inovação na SIC 2025,0,1,0,1,0,1
Mercado cafeeiro mantém a volatilidade na manhã desta 6ª feira (31),0,1,0,1,0,1
Tecon Santos 10: usuários de carga cobram celeridade e leilão aberto e irrestrito,0,1,0,1,0,1
Café: Baixos estoques consolidam altas moderadas dos futuros no fechamento desta 5ª feira (30),0,1,0,1,0,1
"‘Cafés do Brasil’ apresentará novo posicionamento setorial para fortalecimento da marca, na SIC, em Belo Horizonte",0,1,0,1,0,1
Preços do café seguem voláteis e voltam a recuar nas bolsas internacionais na manhã desta 5ª feira (30),0,1,0,1,0,1
Torrefadores dos EUA consomem estoques de café à espera de acordo comercial com Brasil,0,1,0,1,0,1
Queda nos estoques de café consolida fortes ganhos nos preços no fechamento desta 4ª feira (29),0,0,0,1,0,1
"Em movimento de ajustes, preços do café passam a trabalhar com ganhos na tarde desta 4ª feira (29)",0,1,0,1,0,1
Mercado cafeeiro seguia em lados opostos nas bolsas internacionais na manhã desta 4ª feira (29),0,1,0,1,0,1
"Exportação de café de Uganda aumentou 59% em setembro com safra abundante, diz governo",0,0,0,1,0,1
Café/Cepea: Produtor aguarda mais chuvas para bom desenvolvimento da safra,0,0,0,1,0,1
Especialistas apontam irrigação como peça-chave para o futuro do café brasileiro,0,0,0,1,0,1
Preços do café encerram sessão desta 3ª feira (28) em lados opostos nas bolsas internacionais,0,0,0,1,0,1
Faturamento dos embarques de café não torrado até a 4ª semana de outubro/25 fecha em US$ 1 bi,0,0,0,1,0,1
Estudo mostra franco crescimento da cafeicultura nas Matas de Rondônia,0,1,0,1,0,1
Preços do café seguem recuando nas bolsas internacionais na manhã desta 3ª feira (28),0,1,0,1,0,1
Preços do café arábica consolidam queda de mais de 3% no fechamento desta 2ª feira (27),0,0,0,1,0,1
CNC: tratativas entre Brasil e Estados Unidos acerca do tarifaço,1,1,0,1,0,1
Encontro entre Lula e Trump traz queda aos futuros do café na manhã desta 2ª feira (27),0,0,0,1,0,1
Trump diz que tarifa de café será suspensa sob acordo comercial com o Vietnã,0,0,0,1,0,1
Cecafé aguarda resultados concretos para a isenção das tarifas sobre o café brasileiro,0,0,0,1,0,1
BSCA aponta importância do diálogo na tentativa de reverter taxação sobre o café brasileiro,0,0,0,1,0,1
Previsão de chuvas no Brasil consolida baixas do café arábica nesta 6ª feira (24),0,0,0,1,1,0
Mercado cafeeiro segue volátil e pressionado pela oferta global na manhã desta 6ª feira (24),0,0,0,0,0,0
Enfraquecimento da tempestade tropical no Vietnã derruba preços do café robusta no fechamento desta 5ª feira (23),0,0,0,0,0,0
Brasil possui dois planos para isentar café do tarifaço imposto pelos EUA,0,0,0,0,0,0
Café mantém tendência altista com preocupações climáticas e estoques reduzidos,0,0,0,0,0,0
Uganda prevê aumento de 15% na produção de café em 2025/26,0,0,0,0,0,0
Café mantém alta com arábica rondando 420 cents e robusta valorizado em Londres,0,1,0,0,0,0
Café/Cepea:  Preços altos favorecem poder de compra do produtor frente a fertilizantes,0,1,0,0,0,0
Preços do café sobem acentuadamente diante de temores sobre oferta e novas tarifas comerciais,0,1,0,0,0,0
Mercado do café opera em alta com arábica acima de US$ 4 e robusta valorizado em Londres,0,1,0,0,0,0
Preocupação com a oferta sustenta ganhos do café arábica no fechamento desta 2ª feira (20),0,1,0,0,0,0
Concurso de café do Cerrado Mineiro adota inédito protocolo mundial para avaliação de doçura,0,1,0,0,0,0
"Média de embarques de café torrado avança, enquanto do não torrado segue recuando na 3ª semana de outubro/25",0,1,0,0,0,0
Queda dos estoques sustenta alta dos preços do café arábica na manhã desta 2ª feira (20),0,1,0,0,1,1
Previsão de chuva no Vietnã consolida baixas do café robusta no fechamento desta 6ª feira (17),0,1,1,0,0,1
Mercado cafeeiro mantém fundamentos e realizava lucros na manhã desta 6ª feira (17),0,1,0,1,0,1
"Café: Queda diária dos estoques sustentam os preços, que fecham em alta nesta 5ª feira (16)",0,1,0,1,0,1
Preços do café trabalhavam com forte valorização na manhã desta 5ª feira (16),0,0,0,1,0,1
Possível negociação sobre tarifaço derruba os preços do café arábica no fechamento desta 4ª feira (15),0,1,0,1,0,1
Previsão de chuvas no Brasil derruba os preços do arábica no início da tarde desta 4ª feira (15),1,0,0,1,0,1
Incertezas climáticas mantém preços do café elevados na manhã desta 4ª feira (15),0,0,0,1,0,0
"Café/Cepea: Exportação cai em volume, mas se sustenta em receita",1,0,0,1,0,0
"Preços do arábica atingem maior alta em 3 semanas, e fecham sessão com ganho de 3% nesta 3ª feira (14)",1,0,0,1,0,0
Cafeicultor recupera fertilidade do solo com apoio do Feap PSA,1,0,0,1,0,0
"Preços do arábica trabalhavam com alta de 4%, atingindo o patamar dos US$ 4/lp na manhã desta 3ª feira (14)",0,1,0,1,1,1
"Chuvas abaixo da média no Brasil consolidam altas de 3,26% do café arábica no fechamento desta 2ª feira (13)",0,1,0,1,0,1
Média de embarques de café não torrado e torrado recuam na 2ª semana de outubro/25,0,1,0,1,0,1
Preço do arábica trabalhava com ganho de mais de 3% na manhã desta 2ª feira (13),0,1,0,1,0,1
Preços do café encerram sessão desta 6ª feira (10) em queda com previsão de chuvas no Brasil,0,1,0,1,0,1
Preços do café passam a recuar em mais de 1% nas bolsas internacionais no início da tarde desta 6ª feira (10),0,1,0,1,0,1
Preços do café voltam apresentar ganhos moderados na manhã desta 6ª feira (10),0,1,0,1,0,1
"Exportação de café do Brasil soma 3,75 milhões de sacas em setembro",0,1,0,1,0,1
Café: Chuvas significativas no Brasil consolidam baixa de mais de 2% em NY no fechamento desta 5ª feira (09),0,1,0,1,0,1
Café solúvel da Nestlé recebe Selo de Qualidade ABICS,0,0,0,1,0,1
Cafés especiais do Brasil podem render US$ 70 milhões em negócios no Japão,0,0,0,1,0,1
Em compasso de espera: Alta volatilidade dos preços do café traz lentidão na comercialização do grão no Brasil,0,0,0,1,0,1
"Queda de preço do café ao consumidor brasileiro desacelera em setembro, aponta IBGE",0,0,0,1,0,1
"Safra de café do Vietnã deve aumentar de 10% a 15% com tempo favorável, dizem traders",1,0,0,1,0,1
"Oferta limitada mantém volatilidade dos preços do café, que trabalhavam em lados opostos na manhã desta 5ª feira (09)",1,0,0,1,0,1
Preços do café fecham sessão desta 4ª feira (08) com ganhos de mais de 2% nas bolsas internacionais,0,0,0,1,0,1
Queda nos estoques faz preços do café avançarem em mais de 2% na tarde desta 4ª feira (08),0,0,0,1,0,1
Florada intensa na Alta Mogiana renova esperanças para a safra de café 2026,0,0,0,1,0,1
"Após 2 dias de quedas, preços do café trabalhavam com ganhos de 1% na manhã desta 4ª feira (08)",0,1,0,1,0,1
Três brasileiros são finalistas no Prêmio Internacional de Café Ernesto Illy 2025,0,1,0,1,0,1
"Café/Cepea: Lavouras de arábica têm boa floração, mas clima preocupa",0,1,0,1,0,1
Previsão de chuvas no Brasil consolida as baixas do café no fechamento da sessão desta 3ª feira (07),0,1,0,1,0,1
"As flores do café já abriram em grande parte do Brasil, mas agora é preciso de chuva",0,1,0,1,0,1
"Colômbia tem melhor colheita de café em décadas, mas alerta para safra menor em 25/26",0,1,0,1,0,1
"Exportadores têm prejuízo de R$ 5,9 milhões em agosto com não embarque de café",0,1,0,1,0,1
Preços do café seguem voláteis e registravam queda na manhã desta 3ª feira (07),0,1,0,1,0,1
Brasil registra queda de mais de 20% no volume embarcado de café torrado em setembro/25,0,1,0,1,0,1
"Cenário promissor: Nos últimos anos, café robusta registra crescimento significativo e ainda tem potencial para expansão no Brasil",0,0,0,1,0,1
Preços do café caminhavam em lados opostos nas bolsas internacionais na manhã desta 2ª feira (06),0,0,0,1,0,1
Café: Clima volta a consolidar ganhos nas bolsas internacionais no fechamento desta 6ª feira (03),1,1,0,0,0,1
Hedgepoint analisa impactos das tarifas dos EUA no mercado de Café,0,1,0,0,0,1
Preços do café iniciam a 6ª feira (03) com ganhos de mais de 3% nas bolsas internacionais,0,1,0,0,0,1
Mercado cafeeiro fecha sessão desta 5ª feira (02) realizando lucros,0,1,0,1,0,1
"Brasil está a caminho de liderar cultivo global de café robusta, diz Rabobank",0,1,0,1,0,1
Edição de 2025 do Concurso de Qualidade dos Cafés do Sudoeste de Minas entra na reta final,0,1,1,1,0,1
"Exportação de café do Brasil em 2025 deve cair para cerca 40-41 mi sacas, prevê Cecafé",0,1,0,1,0,1
"Após dias de alta, mercado cafeeiro realizava lucros na manhã desta 5ª feira (02)",0,1,0,1,0,1
Café robusta encerra sessão desta 4ª feira (01) com altas de mais de 4% em Londres,1,1,1,0,0,1
Dia Internacional do Café: Anffa celebra produto essencial à economia e à rotina dos brasileiros,0,1,0,1,0,1
Emater-MG e Cecafé firmam parceria para promover a sustentabilidade na cafeicultura,0,1,0,1,0,1
Dia Internacional do Café: Uma celebração à resiliência do cafeicultor brasileiro,0,1,0,1,0,1
"Clima seco volta pressionar os preços do café, que avançavam nas bolsas internacionais na manhã desta 4ª feira (01)",0,1,0,1,0,1
Café/Cepea: Chuvas animam cafeicultores,0,1,0,1,0,1
Café: Clima no Vietnã consolida ganhos na bolsa de Londres no fechamento da sessão desta 3ª feira (30),0,1,0,1,0,1
Preços do café seguem voláteis pressionados pela oferta na manhã desta 3ª feira (30),0,1,0,0,0,1
Café: Registro de chuvas significativas no BR consolida quedas dos futuros no fechamento desta 2ª feira (29),0,1,1,0,0,1
"Cresce a parcela da população no Brasil que reduziu consumo de café, aponta pesquisa",0,1,1,0,0,1
Faturamento com embarques de café não torrado durante 4ª semana de setembro/25 atinge US$ 1 bilhão,1,1,1,0,0,1
Preços do café passam a trabalhar com quedas nas bolsas internacionais no início da tarde desta 2ª feira (29),0,1,0,1,0,1
Tarifas americanas trazem desorganização no mercado internacional do café e possibilidade de triangulação,0,1,0,1,0,1
"Mercado cafeeiro segue pressionado pela oferta, e trabalhava com ganhos moderados na manhã desta 2ª feira (29)",0,1,0,1,0,1
Café arábica fecha sessão desta 6ª feira (26) com ganhos sustentados pela queda nos estoques certificados,0,1,0,1,0,1
"Exportações de café do Brasil aos EUA devem cair ainda mais se tarifas continuarem, diz Cecafé",0,1,0,1,0,1
"Café: Baixos estoques seguem pressionando os futuros, que trabalhavam com ganhos na manhã desta 6ª feira (26)",0,1,0,1,0,1
Estoques apertados consolidam ganhos do café arábica no fechamento da sessão desta 5ª feira (25),0,1,0,1,0,1
Anvisa proíbe e determina apreensão de café torrado da marca Câmara,0,1,0,1,0,1
"Sem novos fundamentos, os preços do café caminhavam em lados opostos nas bolsas internacionais na manhã desta 5ª feira (25)",0,1,0,1,0,1
Queda nos estoques certificados consolidam os ganhos do café no fechamento desta 4ª feira (24),0,1,0,1,0,1
Concursos de café da Emater-MG triplicam valor de grãos premiados e transformam a renda de famílias em Minas,0,1,0,1,0,1
"Café deve chegar nas prateleiras dos supermercados brasileiros cerca de 15% mais caro nos próximos dias, afirma ABIC",0,1,0,1,0,1
‘Qualidade do Café de São Paulo’ será reconhecida em concurso estadual,0,1,0,1,0,1
Mercado cafeeiro segue volátil e apresentava ganhos na manhã desta 4ª feira (24),0,1,0,1,0,1
Café/Cepea: Queda de preço chega a 11% em uma semana,0,1,0,1,0,1
Chuvas no Brasil consolidam baixas nas bolsas internacionais do café no fechamento da sessão desta 3ª feira (23),0,1,0,1,0,1
Conselho Nacional do Café (CNC) se pronuncia sobre o adiamento da EUDR,0,0,0,1,0,1
"Preços do café recuavam mais de 2% na manhã desta 3ª feira (23), em movimento de realização de lucros",1,0,0,1,0,1
Café: Previsão de chuvas nas áreas cafeeiras do Vietnã consolida alta em Londres no fechamento desta 2ª feira (22),0,0,0,1,0,1
Média embarcada de café não torrado e torrado segue recuando durante 3ª semana de setembro/25,0,0,0,1,0,1
Recorde histórico: 13ª edição do Prêmio Região do Cerrado Mineiro tem 714 inscrições,0,1,0,1,0,1
"Preços do café seguem oscilando, e voltam apresentar ganhos na manhã desta 2ª feira (22)",0,0,0,1,0,1
Legisladores dos EUA apresentarão projeto para eliminar tarifas sobre café,0,0,0,1,0,1
Melhor colheita no Vietnã consolida fortes quedas no preço do café robusta no fechamento desta 6ª feira (19),0,0,0,1,0,1
Parlamentares dos EUA apresentarão projeto de lei bipartidário para eliminar tarifas sobre o café,0,0,0,1,0,1
Café robusta recua em mais de 6% em Londres no início da tarde desta 6ª feira (19),0,0,0,1,0,1
"Mercado cafeeiro trabalhava pressionado pelos fundamentos, e trabalhava com quedas na manhã desta 6ª feira (19)",0,1,0,1,0,1
Preços do café fecham sessão desta 5ª feira (18) em campo misto nas bolsas internacionais,0,0,0,0,0,1
Florada sem chuva: Primeiras flores do café secam por conta do clima seco no Brasil,0,0,0,0,0,1
Preços do café seguem recuando nas bolsas internacionais na manhã desta 5ª feira (18),0,0,0,0,0,1
Café: Previsão de chuva consolida baixa de mais de 3 mil pontos em NY no fechamento desta 4ª feira (17),0,0,0,0,0,1
Preço do café arábica recua em mais de 3 mil pontos nos futuros próximos no início da tarde desta 4ª feira (17),0,1,0,0,0,1
"Mercado cafeeiro segue realizando lucros, recuando em mais de 4% em NY na manhã desta 4ª feira (17)",0,0,0,0,0,0
"Colheita de café dos cooperados da Cooxupé atinge 98,9% da safra",0,0,0,0,0,0
Colheita de café na área da Cooxupé está praticamente concluída,0,0,0,0,0,0
Café/Cepea: Volume exportado inicia safra 25/26 limitado; receita é recorde,0,0,0,0,0,0
"Futuros do café arábica atingem máxima da sessão, e mercado fecha 3ª feira (16) realizando lucros",0,0,0,0,0,0
Sem recorde: Potencial da safra brasileira de café 2026 dependerá do clima nos próximos meses,0,0,0,0,0,0
"Após fortes ganhos, mercado cafeeiro realiza lucros na manhã desta 3ª feira (16)",0,0,0,0,0,0
Mercado cafeeiro rompe resistência e arábica fecha sessão acima dos US$ 4/lp nesta 2ª feira (15),0,0,0,0,0,0
Média de faturamento com embarque de café torrado registra ganho na 2ª semana setembro/25,0,0,0,0,0,0
"Exportação de cafés especiais e solúvel do Brasil aos EUA despenca em agosto, dizem associações",0,0,0,0,0,0
13º Prêmio Região do Cerrado Mineiro entra na reta final de inscrições,0,0,0,0,0,0
BSCA: exportação de cafés especiais do Brasil aos EUA despenca com tarifaço,0,0,0,0,0,0
Café solúvel: tarifaço derruba exportação aos EUA em 60% ante ago/24,0,0,0,0,0,0
"Clima seco faz preços do café dispararem no início da tarde desta 2ª feira (15), e arábica sobe mais de 2 mil pontos",0,1,0,0,0,0
Preocupação com oferta elevam os preços do café em mais de 3% na manhã desta 2ª feira (15),0,1,0,0,0,0
"Clima seco pesa novamente sobre o mercado cafeeiro, que encerra sessão desta 6ª feira (12) com fortes ganhos",0,1,0,0,0,0
Sem isenção e diálogo: Café brasileiro segue taxado em 50% pelos EUA,0,1,0,0,0,0
"Cafés do Brasil: Exportações do BR nos oito primeiros meses de 2025 somam 25,32 mi de sacas",0,1,0,0,0,0
Preços do café seguem com fortes oscilações e trabalhavam com ganhos na manhã desta 6ª feira (12),0,1,0,0,0,0
Espírito Santo embarca volume recorde de café em agosto.,0,1,0,0,0,0
"Super colheita de café arábica do Brasil em 2026 está saindo do radar, diz Safras & Mercado",0,1,0,0,0,0
"Arábica cai em Nova York com previsão de chuvas no BR, enquanto robusta sobe em Londres apoiado por estoques baixos",0,1,0,0,0,0
Preços do café sobem em Nova York e Londres com apoio de estoques apertados e tarifa americana,0,1,0,0,0,0
IBGE reduz previsão de safra de café do Brasil e passa a ver queda anual,0,1,0,0,0,0
Mercado futuro do café segue sem tendência definida após conclusão da safra brasileira,0,1,0,0,0,0
"Falta de chuva no Brasil volta a sustentar os preços do café, que fecham em alta nesta 4ª feira (10)",0,1,0,0,0,0
Hedgepoint atualiza projeções para a safra brasileira de café 25/26,0,1,0,0,0,0
"Preço do café para consumidores cai em agosto pelo 2º mês, aponta IBGE",0,1,0,0,0,0
Preocupação com a oferta mantém mercado cafeeiro volátil nesta 4ª feira (10) na Bolsa de NY,0,1,1,1,0,0
Mercado do café fecha em baixa nesta 3ª feira (09) em movimento de realização de lucros,0,1,0,1,0,0
"Brasil exporta 3,1 mi de sacas de café em agosto, queda de 17,5% ante ago/24",0,1,0,1,0,0
"Exportação de café brasileiro aos EUA via terceiros não é uma opção, diz Cecafé",0,1,0,1,0,0
Colheita de café da Cooxupé chega a 97% e entra na reta final,1,1,0,1,0,0
Mercado do café segue em alta pautado pelos fundamentos na manhã desta 3ª feira (09),0,0,0,1,0,0
Café: Clima seco consolida alta de 3% em NY no fechamento desta 2ª feira (08),1,0,0,1,0,0
Média de faturamento e embarques diários de café não torrado e torrado recua na 1ª semana setembro/25,1,0,0,1,0,0
"Exportações de café do Vietnã aumentam 12,9% em agosto",1,0,0,1,0,0
Preços do café avançam em mais de 2% nas bolsas internacionais no início da tarde desta 2ª feira (08),1,0,0,1,0,0
Novas projeções da safra brasileira de café 2025 apontam colheita menor do que a esperada de arábica,1,1,0,1,0,0
Cecafé apoia iniciativa para ampliar investimento em infraestrutura portuária,0,1,0,1,0,0
